"cena (zł)","powierzchnia","liczba pokoi","piętro","adres","rynek","rodzaj zabudowy","materiał budynku","okna","ogrzewanie","rok budowy","stan wykończenia (do)","czynsz","forma własności","internet","telewizja kablowa","telefon","rolety antywłamaniowe","drzwi/okna antywłamaniowe","domofon/wideofon","monitoring/ochrona","system alarmowy","teren zamknięty","meble","pralka","zmywarka","lodówka","kuchenka","piekarnik","telewizor","balkon","pom. użytkowe","garaż/miejsce parkingowe","piwnica","ogródek","taras","winda","dwupoziomowe","oddzielna kuchnia","klimatyzacja"
"933 576,95","92,70","4","6","Śródmieście","pierwotny","apartamentowiec","0","drewniane","miejskie","2017","wykończenia","0","pełna","1","1","1","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0"
"232 073","47,87","2","1","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173 243","40,01","2","p","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200 689","47,31","2","4","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"509 155","56,80","3","6","Gdańsk","wtórny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"317 366","44,70","2","6","Śródmieście","pierwotny","blok","0","0","0","2016","0","0","pełna","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"2 590 000","168,20","5","5","Gdańsk","pierwotny","apartamentowiec","0","0","miejskie","2012","0","0","pełna","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"639 000","97","4","1","Wrzeszcz","wtórny","kamienica","cegła","0","miejskie","1925","zamieszkania","450","pełna","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"393 860","47,30","2","2","Śródmieście","pierwotny","0","0","0","0","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"450 000","49","2","1","Oliwa","wtórny","apartamentowiec","cegła","plastikowe","miejskie","2008","zamieszkania","0","pełna","1","1","0","0","0","1","1","0","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0"
"263 000","41","2","p","Kowale","wtórny","blok","pustak","plastikowe","gazowe","2016","zamieszkania","0","pełna","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"470 000","62,50","3","1","Morena","wtórny","apartamentowiec","pustak","plastikowe","miejskie","2012","zamieszkania","680","pełna","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0"
"399 000","143","5","1","Jasień","wtórny","blok","0","0","miejskie","2013","0","0","pełna","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0"
"232 073","47,87","2","1","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173 243","40,01","2","p","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200 689","47,31","2","4","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"509 155","56,80","3","6","Gdańsk","wtórny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"317 366","44,70","2","6","Śródmieście","pierwotny","blok","0","0","0","2016","0","0","pełna","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"393 860","47,30","2","2","Śródmieście","pierwotny","0","0","0","0","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"639 000","97","4","1","Wrzeszcz","wtórny","kamienica","cegła","0","miejskie","1925","zamieszkania","450","pełna","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"2 590 000","168,20","5","5","Gdańsk","pierwotny","apartamentowiec","0","0","miejskie","2012","0","0","pełna","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"450 000","49","2","1","Oliwa","wtórny","apartamentowiec","cegła","plastikowe","miejskie","2008","zamieszkania","0","pełna","1","1","0","0","0","1","1","0","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0"
"79 000","51,33","2","p","Gdańsk","wtórny","blok","0","plastikowe","gazowe","2003","zamieszkania","693","udział","1","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0"
"289 000","46","2","6","Przymorze","wtórny","blok","0","plastikowe","miejskie","0","zamieszkania","430","pełna","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0"
"183 990","39,20","2","p","Jasień","pierwotny","blok","silikat","plastikowe","miejskie","2017","wykończenia","0","pełna","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0"
"232 073","47,87","2","1","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173 243","40,01","2","p","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200 689","47,31","2","4","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"509 155","56,80","3","6","Gdańsk","wtórny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"317 366","44,70","2","6","Śródmieście","pierwotny","blok","0","0","0","2016","0","0","pełna","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"2 590 000","168,20","5","5","Gdańsk","pierwotny","apartamentowiec","0","0","miejskie","2012","0","0","pełna","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"393 860","47,30","2","2","Śródmieście","pierwotny","0","0","0","0","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"639 000","97","4","1","Wrzeszcz","wtórny","kamienica","cegła","0","miejskie","1925","zamieszkania","450","pełna","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"450 000","49","2","1","Oliwa","wtórny","apartamentowiec","cegła","plastikowe","miejskie","2008","zamieszkania","0","pełna","1","1","0","0","0","1","1","0","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0"
"470 000","56,10","3","5","Żabianka","pierwotny","blok","wielka","plastikowe","miejskie","1973","0","610","spółdzielcze","1","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","0","0","1","0","1","0"
"398 000","51,30","2","1","Morena","wtórny","blok","0","plastikowe","miejskie","2013","zamieszkania","320","pełna","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0"
"527 030","58,60","3","2","Starówka","pierwotny","apartamentowiec","silikat","drewniane","miejskie","2017","wykończenia","0","pełna","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0"
"232 073","47,87","2","1","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173 243","40,01","2","p","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200 689","47,31","2","4","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"509 155","56,80","3","6","Gdańsk","wtórny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"317 366","44,70","2","6","Śródmieście","pierwotny","blok","0","0","0","2016","0","0","pełna","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"639 000","97","4","1","Wrzeszcz","wtórny","kamienica","cegła","0","miejskie","1925","zamieszkania","450","pełna","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"2 590 000","168,20","5","5","Gdańsk","pierwotny","apartamentowiec","0","0","miejskie","2012","0","0","pełna","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"393 860","47,30","2","2","Śródmieście","pierwotny","0","0","0","0","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"450 000","49","2","1","Oliwa","wtórny","apartamentowiec","cegła","plastikowe","miejskie","2008","zamieszkania","0","pełna","1","1","0","0","0","1","1","0","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0"
"199 000","45","2","1","Kowale","wtórny","blok","0","0","0","0","0","272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"189 240","39,80","2","2","Jasień","pierwotny","blok","silikat","plastikowe","miejskie","2017","wykończenia","0","pełna","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","0","0","0"
"414 100","54,12","3","6","Gdańsk","pierwotny","apartamentowiec","żelbet","0","miejskie","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"232 073","47,87","2","1","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173 243","40,01","2","p","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200 689","47,31","2","4","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"509 155","56,80","3","6","Gdańsk","wtórny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"317 366","44,70","2","6","Śródmieście","pierwotny","blok","0","0","0","2016","0","0","pełna","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"393 860","47,30","2","2","Śródmieście","pierwotny","0","0","0","0","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"639 000","97","4","1","Wrzeszcz","wtórny","kamienica","cegła","0","miejskie","1925","zamieszkania","450","pełna","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"2 590 000","168,20","5","5","Gdańsk","pierwotny","apartamentowiec","0","0","miejskie","2012","0","0","pełna","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"450 000","49","2","1","Oliwa","wtórny","apartamentowiec","cegła","plastikowe","miejskie","2008","zamieszkania","0","pełna","1","1","0","0","0","1","1","0","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0"
"415 000","55","3","p","Gdańsk","wtórny","blok","0","plastikowe","miejskie","2005","zamieszkania","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0"
"404 425,89","42,10","2","2","Starówka","pierwotny","apartamentowiec","silikat","drewniane","miejskie","2017","wykończenia","0","pełna","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0"
"494 725,26","51,40","2","3","Starówka","pierwotny","0","silikat","drewniane","miejskie","2017","wykończenia","0","pełna","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","0","0","0"
"232 073","47,87","2","1","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173 243","40,01","2","p","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200 689","47,31","2","4","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"509 155","56,80","3","6","Gdańsk","wtórny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"317 366","44,70","2","6","Śródmieście","pierwotny","blok","0","0","0","2016","0","0","pełna","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"393 860","47,30","2","2","Śródmieście","pierwotny","0","0","0","0","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"2 590 000","168,20","5","5","Gdańsk","pierwotny","apartamentowiec","0","0","miejskie","2012","0","0","pełna","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"639 000","97","4","1","Wrzeszcz","wtórny","kamienica","cegła","0","miejskie","1925","zamieszkania","450","pełna","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"450 000","49","2","1","Oliwa","wtórny","apartamentowiec","cegła","plastikowe","miejskie","2008","zamieszkania","0","pełna","1","1","0","0","0","1","1","0","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0"
"420 000","120","5","3","Gdańsk","wtórny","blok","inne","plastikowe","miejskie","2006","zamieszkania","700","pełna","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","1","0"
"186 090","39,20","2","2","Jasień","pierwotny","blok","silikat","plastikowe","miejskie","2017","wykończenia","0","pełna","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","0","0","0"
"160 800","28,71","1","1","Morena","pierwotny","apartamentowiec","0","plastikowe","miejskie","0","remontu","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0"
"232 073","47,87","2","1","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173 243","40,01","2","p","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200 689","47,31","2","4","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"509 155","56,80","3","6","Gdańsk","wtórny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"317 366","44,70","2","6","Śródmieście","pierwotny","blok","0","0","0","2016","0","0","pełna","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"2 590 000","168,20","5","5","Gdańsk","pierwotny","apartamentowiec","0","0","miejskie","2012","0","0","pełna","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"639 000","97","4","1","Wrzeszcz","wtórny","kamienica","cegła","0","miejskie","1925","zamieszkania","450","pełna","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"393 860","47,30","2","2","Śródmieście","pierwotny","0","0","0","0","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"450 000","49","2","1","Oliwa","wtórny","apartamentowiec","cegła","plastikowe","miejskie","2008","zamieszkania","0","pełna","1","1","0","0","0","1","1","0","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0"
"280 000","47","2","1","Kiełpinek","wtórny","blok","0","plastikowe","miejskie","2011","zamieszkania","177","pełna","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0"
"448 772,40","51,30","3","2","Starówka","pierwotny","apartamentowiec","silikat","drewniane","miejskie","2017","wykończenia","0","pełna","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0"
"389 849","63,39","3","1","Gdańsk","pierwotny","apartamentowiec","0","plastikowe","gazowe","2017","wykończenia","0","pełna","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"232 073","47,87","2","1","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173 243","40,01","2","p","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200 689","47,31","2","4","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"509 155","56,80","3","6","Gdańsk","wtórny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"317 366","44,70","2","6","Śródmieście","pierwotny","blok","0","0","0","2016","0","0","pełna","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"639 000","97","4","1","Wrzeszcz","wtórny","kamienica","cegła","0","miejskie","1925","zamieszkania","450","pełna","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"393 860","47,30","2","2","Śródmieście","pierwotny","0","0","0","0","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"2 590 000","168,20","5","5","Gdańsk","pierwotny","apartamentowiec","0","0","miejskie","2012","0","0","pełna","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"450 000","49","2","1","Oliwa","wtórny","apartamentowiec","cegła","plastikowe","miejskie","2008","zamieszkania","0","pełna","1","1","0","0","0","1","1","0","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0"
"279 000","49,40","2","6","Morena","wtórny","blok","0","plastikowe","0","0","zamieszkania","500","spółdzielcze","0","0","0","0","0","1","0","0","0","1","1","0","1","1","1","0","1","1","0","1","0","0","1","0","1","0"
"186 090","39,20","2","2","Jasień","pierwotny","blok","silikat","plastikowe","miejskie","2017","wykończenia","0","pełna","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","0","0","0"
"!!Deweloperskie 4 pokoje Gdańsk-Kowale
dzielnicaadres:Gdańsk
k_ad
dzielnicaadres:pomorskie
k_ad
dzielnicaadres:Gdańsk
k_ad
dzielnicaadres:pomorskie
k_ad

cena 315 547","77,53","4","1","Gdańsk","pierwotny","blok","0","plastikowe","miejskie","2017","wykończenia","480","pełna","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0"
"232 073","47,87","2","1","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173 243","40,01","2","p","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200 689","47,31","2","4","Gdańsk","pierwotny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"509 155","56,80","3","6","Gdańsk","wtórny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
